"","date","site.id","observer","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","x","y","notes"
"2",2016-01-12,"1609B","wr",197,74,479,44,"0","0","0","0","0","0",412979.1305,4020831.5268,NA
"3",2016-01-12,"1602B","wr",241,65,530,37,"0","4","0","3","0","2",410903.5708,4020595.3205,NA
"4",2016-01-12,"1600A","wr",321,82,341,47,"0","6","0","0","1","7",410293.5869,4020438.3028,NA
"5",2016-01-12,"1607A","wr",296,95,293,41,"2","4","2","5","2","5",411910.3865,4021326.9918,NA
"6",2016-01-12,"1608A","wr",NA,NA,NA,NA,"0","0","0","0","0","0",412954.8839,4021362.4632,"No site access due to flooding. Clod assessment values are fictitious."
"7",2016-01-12,"1602A","wr",331,100,463,42,"0","6","0","6","0","9",410838.7849,4020580.4545,NA
"8",2016-01-12,"1600B","wr",295,81,375,41,"0","1","0","3","0","2",410223.0235,4020437.9229,NA
"9",2016-01-12,"1604A","wr",335,119,309,60,"0","7","0","7","0","2",411838.5776,4021150.2216,NA
"10",2016-01-12,"1607B","wr",286,93,344,54,"1","6","1","6","2","4",411938.7111,4021331.9184,NA
"11",2016-01-12,"1605B","wr",313,99,423,34,"0","7","0","9","0","6",411648.1612,4020406.4387,NA
"12",2016-01-12,"1604B","wr",318,112,384,38,"1","7","1","6","1","6",411787.0342,4021139.4297,NA
"13",2016-01-12,"1609A","wr",242,90,452,41,"0","0","0","0","0","0",413036.2484,4020861.1291,"Clods are rapidly breaking down"
"14",2016-01-12,"1603B","wr",315,106,330,47,"1","4","0","3","0","3",411172.0614,4021305.1192,NA
"15",2016-01-12,"1608B","wr",NA,NA,NA,NA,"0","0","0","0","0","0",412918.6001,4021361.7028,"No site access due to flooding. Clod assessment values are fictitious."
"16",2016-01-12,"1606A","wr",289,103,396,49,"0","7","0","9","0","7",411954.9268,4020966.1053,NA
"17",2016-01-12,"1608C","wr",NA,NA,NA,NA,"0","0","0","0","0","0",412886.2913,4021358.9784,"No access to site due to flooding and heavy mud. Clod assessment values are fictitious."
"18",2016-01-12,"1606B","wr",292,83,342,41,"0","7","0","8","1","7",412014.5734,4020961.5067,NA
"19",2016-01-12,"1603A","wr",332,99,388,66,"1","7","1","9","0","9",411085.4712,4021284.8661,NA
"20",2016-01-12,"1606C","wr",281,100,300,50,"0","5","0","5","1","5",412067.1474,4020967.6301,NA
"21",2016-01-12,"1617A","ed",273,90,488,46,"0","0","0","0","0","0",412825.3406,4022026.6391,NA
"22",2016-01-12,"1620A","ed",240,86,565,43,"2","9","1","10","1","10",413828.7782,4022180.5793,NA
"23",2016-01-12,"1615A","ed",294,98,395,43,"0","0","0","0","1","0",412188.0369,4022357.8898,NA
"24",2016-01-12,"1613B","ede",295,93,410,47,"1","5","2","4","1","4",411604.4385,4021780.8408,NA
"25",2016-01-12,"1614A","ed",325,90,355,40,"3","6","1","7","1","8",411660.1153,4022030.4374,NA
"26",2016-01-12,"1612B","ed",300,97,380,42,"2","6","2","4","1","8",411177.5159,4021899.3552,NA
"27",2016-01-12,"1619A","ed",166,60,663,26,"1","0","1","0","1","0",413694.2781,4022157.1773,NA
"28",2016-01-12,"1616B","ed",257,82,450,39,"0","0","1","3","1","0",412264.9053,4021918.3558,NA
"29",2016-01-12,"1617C","ed",292,68,348,33,"1","0","1","0","1","0",412727.1294,4022051.256,NA
"30",2016-01-12,"1614B","ed",295,91,327,39,"0","7","1","7","0","10",411607.5068,4022037.9623,NA
"31",2016-01-12,"1618A","ed",182,69,673,27,"0","0","0","0","0","0",413681.7101,4021949.4072,NA
"32",2016-01-12,"1616A","ed",284,82,470,37,"0","0","0","0","0","0",412335.2563,4021934.507,NA
