"","date","site.id","observer","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","x","y","notes"
"1",2016-02-04 10:04:00,"1636B","ed",271,92,405,35,"0%","0%","0%","0%","0%","0%",415239.8945,4039774.1327,"40cm water in furrow"
"2",2016-02-04 12:36:09,"1633A","ed",285,98,440,28,"10-20%","60-70%","10-20%","60-70%","1-10%","40-50%",422078.6012,4037306.0935,NA
"3",2016-02-04 09:15:36,"1635A","ed",262,92,350,46,"0%","0%","0%","0%","0%","0%",415706.5916,4039650.7438,"48cm water in furrow"
"4",2016-02-04 11:35:57,"1631A","ed",320,118,458,46,"10-20%","1-10%","30-40%","30-40%","50-60%","30-40%",422295.4394,4036930.9496,NA
"5",2016-02-04 09:55:24,"1636A","ed",280,102,340,48,"0%","0%","0%","0%","0%","0%",415340.7247,4039790.0053,"35cm water in furrow"
"6",2016-02-04 12:08:54,"1632B","ed",255,117,404,51,"0%","0%","0%","0%","0%","0%",422137.9842,4037065.9354,NA
"7",2016-02-04 11:20:22,"1631B","ed",315,112,392,50,"0%","0%","0%","0%","0%","0%",422244.4928,4036894.7993,NA
"8",2016-02-04 12:20:48,"1632A","ed",284,102,545,42,"0%","1-10%","1-10%","10-20%","1-10%","30-40%",422205.9377,4037100.3786,NA
"9",2016-02-04 09:25:11,"1635B","ed",250,80,390,31,"0%","0%","0%","0%","0%","0%",415646.9343,4039686.9383,"30cm water in furrow"
"10",2016-02-04 09:31:57,"1635C","ed",265,95,317,44,"0%","0%","0%","0%","0%","0%",415573.1898,4039656.486,"40cm water in furrow"
"11",2016-02-04 12:53:28,"1634A","ed",282,114,575,44,"1-10%","80-90%","10-20%","70-80%","1-10%","90-100%",421938.1432,4037427.2847,"20cm water in furrow"
"12",2016-02-04 13:03:30,"1612A","SR",320,103,350,55,"10-20%","30-40%","10-20%","40-50%","10-20%","10-20%",411110.8144,4021901.5615,NA
"13",2016-02-04 13:25:09,"1613B","SR",310,96,410,55,"10-20%","60-70%","10-20%","30-40%","1-10%","30-40%",411604.6648,4021779.7152,NA
"14",2016-02-04 12:25:16,"1603A","SR",340,110,390,80,"1-10%","30-40%","0%","60-70%","0%","30-40%",411083.3191,4021289.9064,NA
"15",2016-02-04 12:53:32,"1612B","SR",310,100,380,50,"70-80%","10-20%","70-80%","1-10%","10-20%","60-70%",411176.5199,4021898.3495,NA
"16",2016-02-04 13:34:24,"1613A","SR",290,90,440,60,"70-80%","1-10%","70-80%","1-10%","10-20%","50-60%",411556.5926,4021766.2396,NA
"17",2016-02-04 11:17:04,"1602B","SR",250,70,515,55,"1-10%","30-40%","1-10%","30-40%","1-10%","10-20%",410902.884,4020590.9499,NA
"18",2016-02-04 09:57:04,"1601B","SR",300,95,417,57,"10-20%","30-40%","20-30%","10-20%","1-10%","50-60%",410969.2683,4020097.7968,NA
"19",2016-02-04 10:17:13,"1601A","SR",320,84,490,44,"1-10%","60-70%","20-30%","10-20%","80-90%","0%",410699.7615,4020790.2325,NA
"20",2016-02-04 12:12:56,"1603B","SR",330,110,310,65,"60-70%","1-10%","60-70%","0%","70-80%","1-10%",411175.8948,4021302.0773,NA
"21",2016-02-05 11:32:08,"1637B","ed",315,92,500,41,"40-50%","10-20%","30-40%","40-50%","10-20%","60-70%",416685.658,4027272.3694,NA
"22",2016-02-05 12:46:57,"1638B","ed",335,96,365,37,"1-10%","70-80%","1-10%","50-60%","20-30%","1-10%",416533.0983,4027767.1729,NA
"23",2016-02-05 13:33:43,"1614B","ed",300,97,330,41,"1-10%","70-80%","1-10%","70-80%","1-10%","90-100%",411607.7669,4022037.0721,NA
"24",2016-02-05 13:56:59,"1615B","ed",305,98,375,46,"1-10%","0%","1-10%","1-10%","1-10%","1-10%",412114.0428,4022380.4937,NA
"25",2016-02-05 12:14:57,"1638A","ed",310,82,405,30,"10-20%","60-70%","10-20%","50-60%","10-20%","60-70%",416692.0472,4027619.539,NA
"26",2016-02-05 12:07:02,"1640A","ed",310,74,410,35,"1-10%","20-30%","1-10%","30-40%","10-20%","30-40%",417036.7854,4027633.7576,NA
"27",2016-02-05 09:43:42,"1631A","ed",320,118,458,46,"20-30%","1-10%","50-60%","30-40%","40-50%","40-50%",422297.4153,4036931.4865,NA
"28",2016-02-05 12:33:39,"1640B","ed",325,80,395,29,"20-30%","40-50%","1-10%","40-50%","40-50%","20-30%",416854.5948,4027808.7875,NA
"29",2016-02-05 11:18:16,"1639B","ed",350,96,410,40,"10-20%","0%","10-20%","1-10%","1-10%","30-40%",417025.1664,4027263.5634,NA
"30",2016-02-05 11:01:45,"1637A","ed",360,102,520,36,"40-50%","20-30%","20-30%","10-20%","1-10%","50-60%",416547.8098,4027059.9219,NA
"31",2016-02-05 09:58:10,"1632B","ed",223,118,405,51,"10-20%","0%","1-10%","0%","1-10%","20-30%",422138.0538,4037063.7161,NA
"32",2016-02-05 13:25:37,"1614A","ed",325,92,355,39,"20-30%","70-80%","10-20%","80-90%","10-20%","80-90%",411661.4614,4022030.4237,NA
"33",2016-02-05 09:50:54,"1631B","ed",317,110,391,49,"1-10%","1-10%","1-10%","30-40%","0%","50-60%",422244.7139,4036899.4567,NA
"34",2016-02-05 10:44:51,"1639A","ed",330,90,530,32,"0%","70-80%","1-10%","80-90%","10-20%","60-70%",416866.6436,4027073.7183,NA
"35",2016-02-05 13:49:08,"1615A","ed",295,100,394,47,"1-10%","0%","1-10%","0%","1-10%","0%",412188.7682,4022359.2136,NA
"36",2016-02-08 13:13:59,"1606B","ed",285,80,340,40,"1-10%","80-90%","1-10%","80-90%","1-10%","90-100%",412016.9855,4020960.3728,NA
"37",2016-02-08 11:12:05,"1618A","ed",184,78,672,27,"1-10%","1-10%","1-10%","1-10%","1-10%","1-10%",413680.9944,4021949.6361,NA
"38",2016-02-08 12:25:04,"1616A","ed",285,86,475,38,"1-10%","0%","1-10%","20-30%","1-10%","10-20%",412335.9485,4021931.9486,NA
"39",2016-02-08 12:07:39,"1617B","ed",285,84,382,42,"1-10%","0%","1-10%","0%","1-10%","0%",412774.0424,4022057.4404,NA
"40",2016-02-08 14:06:38,"1609A","ed",242,92,450,42,"1-10%","1-10%","0%","1-10%","1-10%","30-40%",413033.0049,4020859.9413,NA
"41",2016-02-08 13:34:31,"1604B","ed",312,115,395,49,"10-20%","60-70%","10-20%","60-70%","10-20%","60-70%",411789.2949,4021141.0708,NA
"42",2016-02-08 12:54:13,"1605B","ed",315,98,435,39,"1-10%","70-80%","1-10%","80-90%","1-10%","80-90%",411649.0588,4020406.4295,NA
"43",2016-02-08 12:00:21,"1617A","ed",275,92,485,49,"0%","0%","0%","0%","0%","0%",412823.0669,4022023.6666,NA
"44",2016-02-08 11:28:44,"1620A","ed",250,90,565,43,"20-30%","70-80%","20-30%","70-80%","20-30%","70-80%",413827.4155,4022178.9287,NA
"45",2016-02-08 12:31:14,"1616B","ed",264,89,450,42,"1-10%","30-40%","1-10%","40-50%","1-10%","30-40%",412267.0637,4021918.7776,NA
"46",2016-02-08 11:05:31,"1621A","ed",215,78,672,24,"1-10%","20-30%","1-10%","30-40%","1-10%","30-40%",413866.7884,4021968.2021,NA
"47",2016-02-08 13:44:40,"1607A","ed",300,102,298,45,"40-50%","40-50%","30-40%","50-60%","40-50%","40-50%",411915.5674,4021324.4986,NA
"48",2016-02-08 12:46:28,"1605A","ed",305,88,350,43,"10-20%","60-70%","10-20%","60-70%","10-20%","50-60%",411713.2235,4020413.2095,NA
"49",2016-02-08 13:50:45,"1607B","ed",290,100,332,49,"20-30%","60-70%","10-20%","60-70%","30-40%","40-50%",411940.6743,4021330.789,NA
"50",2016-02-08 13:28:48,"1604A","ed",325,122,310,58,"10-20%","70-80%","10-20%","70-80%","30-40%","60-70%",411839.9273,4021150.5407,NA
"51",2016-02-08 11:38:11,"1619A","ed",166,62,668,24,"1-10%","30-40%","1-10%","30-40%","1-10%","20-30%",413691.8462,4022156.314,NA
"52",2016-02-08 13:18:52,"1606C","ed",285,105,305,47,"10-20%","50-60%","10-20%","60-70%","20-30%","50-60%",412066.9769,4020968.5193,NA
"53",2016-02-08 14:12:44,"1609B","ed",205,76,476,42,"1-10%","1-10%","1-10%","1-10%","1-10%","10-20%",412981.4263,4020827.732,NA
"54",2016-02-08 12:10:18,"1617C","ed",295,70,340,35,"1-10%","10-20%","1-10%","20-30%","1-10%","10-20%",412727.4906,4022051.4742,"lots of erosion an free sand"
"55",2016-02-08 13:04:06,"1606A","ed",280,106,400,47,"10-20%","80-90%","10-20%","70-80%","10-20%","80-90%",411968.3686,4020963.8611,NA
"56",2016-02-04 10:00:00,"1602A","SR",350,85,440,60,"1-10%","30-40%","1-10%","30-40%","0%","60-70%",410839.084,4020580.602,NA
