"date","id","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","observer","mean.pnt5to3","mean.gt3","mean.total"
2015-09-22,"1601A",303,89,477,44,5,65,5,55,5,25,"BR",5,48.3333333333333,53.3333333333333
2015-09-22,"1601B",293,91,417,53,5,45,5,55,0,65,"BR",3.33333333333333,55,58.3333333333333
2015-09-22,"1602A",340,102,438,50,5,45,5,35,15,45,"BR",8.33333333333333,41.6666666666667,50
2015-09-22,"1602B",245,66,516,34,15,35,5,25,5,45,"BR",8.33333333333333,35,43.3333333333333
2015-09-22,"1602C",295,72,347,32,15,35,5,75,5,75,"ED",8.33333333333333,61.6666666666667,70
2015-09-22,"1602D",325,98,448,45,5,55,0,25,5,35,"ED",3.33333333333333,38.3333333333333,41.6666666666667
2015-09-22,"1603A",335,106,392,61,5,65,0,100,5,85,"BR",3.33333333333333,83.3333333333333,86.6666666666667
2015-09-22,"1603B",317,106,328,50,15,55,25,45,15,35,"BR",18.3333333333333,45,63.3333333333333
2015-09-22,"1603C",337,98,368,44,5,85,0,95,5,95,"ED",3.33333333333333,91.6666666666667,95
2015-09-22,"1603D",290,102,360,52,0,95,0,95,5,55,"ED",1.66666666666667,81.6666666666667,83.3333333333333
2015-09-22,"1604A",332,123,310,63,5,75,5,75,5,25,"BR",5,58.3333333333333,63.3333333333333
2015-09-22,"1604B",310,117,398,38,5,75,15,65,15,65,"BR",11.6666666666667,68.3333333333333,80
2015-09-22,"1604C",300,102,440,40,0,95,0,55,0,75,"ED",0,75,75
2015-09-22,"1604D",308,97,364,44,15,45,5,75,5,85,"ED",8.33333333333333,68.3333333333333,76.6666666666667
2015-09-22,"1605A",316,95,342,47,5,75,5,65,0,45,"BR",3.33333333333333,61.6666666666667,65
2015-09-22,"1605B",312,94,429,36,5,85,5,95,0,85,"BR",3.33333333333333,88.3333333333333,91.6666666666667
2015-09-22,"1605C",297,99,459,54,15,75,15,65,25,55,"BR",18.3333333333333,65,83.3333333333333
